Nutrient,Age-sex group (*: excludes pregnant or breastfeeding),N,Food group_level1,Food group_level2,Food group_level3,Amount,Amount_SE,L95%CI,U95%CI,Unit,Percentage,Percentage_SE,Interpretation_Notes,Food_Group_Level
Calcium,Enfants 1 à 8 ans,1159,Boissons (excluant laits),Jus de fruit,,20.4368641,1.9,16.8,24.1,mg,2.21166977,0.2,,2
Calcium,Enfants 1 à 8 ans,77,Boissons (excluant laits),Autres boissons,,1.1134248,0.3,0.6,1.7,mg,0.120494417,0,E,2
Calcium,Enfants 1 à 8 ans,142,Boissons (excluant laits),Boissons gazeuses,,0.4098386,0.1,0.3,0.5,mg,0.044352584,0,,2
Calcium,Enfants 1 à 8 ans,21,Boissons (excluant laits),Boissons pour sportifs,,0.0112785,0,0,0,mg,0.00122055,0,F,2
Calcium,Enfants 1 à 8 ans,52,Boissons (excluant laits),Jus de tomates et de légumes,,0.4480172,0.1,0.2,0.7,mg,0.048484253,0,E,2
Calcium,Enfants 1 à 8 ans,2,Boissons (excluant laits),Eau vitaminée,,0.0012063,0,0,0,mg,0.000130541,0,<10,2
Calcium,Enfants 1 à 8 ans,2344,Boissons (excluant laits),Eau,,12.3034431,0.4,11.5,13.1,mg,1.331474001,0,,2
Calcium,Enfants 1 à 8 ans,2436,Produits laitiers et Boissons à base de plantes,,,635.0805195,14.4,606.8,663.3,mg,68.72817557,0.6,,1
Calcium,Enfants 1 à 8 ans,1632,Produits laitiers et Boissons à base de plantes,Fromages,,162.9491821,7.8,147.7,178.2,mg,17.63429935,0.7,,2
Calcium,Enfants 1 à 8 ans,2341,Produits laitiers et Boissons à base de plantes,Laits et boissons à base de plantes,,412.448704,11.7,389.4,435.4,mg,44.63504401,0.8,,2
Calcium,Enfants 1 à 8 ans,854,Produits laitiers et Boissons à base de plantes,Laits et boissons à base de plantes,Lait 1%,70.9974971,8.1,55.1,86.9,mg,7.683322503,0.8,,3
Calcium,Enfants 1 à 8 ans,1810,Produits laitiers et Boissons à base de plantes,Laits et boissons à base de plantes,Lait 2%,195.1534229,8.6,178.2,212.1,mg,21.11943021,0.9,,3
Calcium,Enfants 1 à 8 ans,253,Produits laitiers et Boissons à base de plantes,Laits et boissons à base de plantes,Crème et autres types de lait,4.2583228,1,2.3,6.3,mg,0.460834095,0.1,E,3
